sku,position,,,,,,,
SKDAC1415,680,,,,,,,
SKDAC1610,681,,,,,,,
CCAE1563,682,,,,,,,
PCCAA3723,683,,,,,,,
PSAAD4938,684,,,,,,,
SAAA28163,685,,,,,,,
SAAD5575,686,,,,,,,
SAAD5741,687,,,,,,,
SAAE7048,688,,,,,,,
SAAE7589,689,,,,,,,
SAAE7697,690,,,,,,,
SKDAA14744,691,,,,,,,
SKDAA17675,692,,,,,,,
CCAC1287,693,,,,,,,
PSAAD4597,694,,,,,,,
PSAAD5971,695,,,,,,,
SAAD4748,696,,,,,,,
SKDAA10689,697,,,,,,,
SKDAA13093,698,,,,,,,
SKDAA14940,699,,,,,,,
SKDAC1356,700,,,,,,,
SKDAD1800,701,,,,,,,
CCAA4097,702,,,,,,,
PSAAB1385,703,,,,,,,
PSAAD4447,704,,,,,,,
PSAAD5079,705,,,,,,,
PSAAD5124,706,,,,,,,
PSAAD5783,707,,,,,,,
PSAAD5837,708,,,,,,,
PSKDAA16672,709,,,,,,,
PSKDAC1528,710,,,,,,,
SAAA15502,711,,,,,,,
SAAC4267,712,,,,,,,
SAAD6064,713,,,,,,,
SAAD6102,714,,,,,,,
SAAE7412,715,,,,,,,
SKDAA9021,716,,,,,,,
SKDAA9728,717,,,,,,,
SKDAC1657,718,,,,,,,
SKDAD1738,719,,,,,,,
SKDAD1916,720,,,,,,,
SKDAE2209,721,,,,,,,
CCAA2863,722,,,,,,,
CCAA4125,723,,,,,,,
KRTAA0337,724,,,,,,,
PCCAA3947,725,,,,,,,
PGWAA0494,726,,,,,,,
PMNS0028,727,,,,,,,
SAAA29846,728,,,,,,,
SAAD4751,729,,,,,,,
SAAD4885,730,,,,,,,
SAAD6121,731,,,,,,,
SAAD6194,732,,,,,,,
SAAE7396,733,,,,,,,
SAAE7747,734,,,,,,,
SKDAA17105,735,,,,,,,
SKDAD1734,736,,,,,,,
CCAC1370,737,,,,,,,
DPTAD1032,738,,,,,,,
KIDSAD1059,739,,,,,,,
PDPTAD1021,740,,,,,,,
PSAAD6501,741,,,,,,,
PSKDAA15681,742,,,,,,,
SAAA21568,743,,,,,,,
SAAA29841,744,,,,,,,
SAAD4665,745,,,,,,,
SAAE7584,746,,,,,,,
SKDAA9045,747,,,,,,,
SKDAC1375,748,,,,,,,
PSAAD6687,749,,,,,,,
CCAA3854,750,,,,,,,
CCAA4073,751,,,,,,,
CCAC1229,752,,,,,,,
CCAC1369,753,,,,,,,
CCAC1496,754,,,,,,,
CCAE1559,755,,,,,,,
PCCAA3737,756,,,,,,,
PSAAA26174,757,,,,,,,
PSAAD6147,758,,,,,,,
SAAA16308,759,,,,,,,
SAAA27078,760,,,,,,,
SAAC3464,761,,,,,,,
SAAD4640,762,,,,,,,
SAAE7205,763,,,,,,,
SKDAA16584,764,,,,,,,
SKDAD1708,765,,,,,,,
SKDAD1866,766,,,,,,,
SKDAE2128,767,,,,,,,
SKDAE2210,768,,,,,,,
CCAB1132,769,,,,,,,
CCAC1220,770,,,,,,,
CCAE1532,771,,,,,,,
MNSAA0071,772,,,,,,,
PSAAD6503,773,,,,,,,
SAAA5281,774,,,,,,,
SAAC4256,775,,,,,,,
SAAC4258,776,,,,,,,
SAAD4750,777,,,,,,,
SAAD5474,778,,,,,,,
SAAD6306,779,,,,,,,
SAAD6410,780,,,,,,,
SAAE7386,781,,,,,,,
SKDAC1357,782,,,,,,,
SKDAC1360,783,,,,,,,
SKDAC1614,784,,,,,,,
SKDAE2292,785,,,,,,,
CCAA4030,786,,,,,,,
CCAA4115,787,,,,,,,
CCAB1128,788,,,,,,,
GWAA0182,789,,,,,,,
PSAAA26608,790,,,,,,,
PSAAC3452,791,,,,,,,
PSAAD5144,792,,,,,,,
PSAAD6690,793,,,,,,,
PSKDAA16389,794,,,,,,,
SAAA29933,795,,,,,,,
SAAA29969,796,,,,,,,
SAAC4427,797,,,,,,,
SAAD6114,798,,,,,,,
SAAE7323,799,,,,,,,
SAAE7698,800,,,,,,,
SKDAA17545,801,,,,,,,
SKDAD1803,802,,,,,,,
SKDAD1834,803,,,,,,,
SKDAE2025,804,,,,,,,
