Country,Region/State,"Zip/Postal Code","Weight (and above)","Shipping Price"
AUT,*,*,40000.0000,22568.0000
AUT,*,*,41000.0000,23111.0000
AUT,*,*,42000.0000,23653.0000
AUT,*,*,43000.0000,24196.0000
AUT,*,*,44000.0000,24739.0000
AUT,*,*,45000.0000,25282.0000
AUT,*,*,46000.0000,25824.0000
AUT,*,*,47000.0000,26367.0000
AUT,*,*,48000.0000,26910.0000
AUT,*,*,49000.0000,27453.0000
AUT,*,*,50000.0000,27995.0000
AZE,*,*,500.0000,1992.0000
AZE,*,*,1000.0000,1992.0000
AZE,*,*,1500.0000,2267.0000
AZE,*,*,2000.0000,2611.0000
AZE,*,*,2500.0000,2954.0000
AZE,*,*,3000.0000,3366.0000
AZE,*,*,3500.0000,3710.0000
AZE,*,*,4000.0000,4122.0000
AZE,*,*,4500.0000,4534.0000
AZE,*,*,5000.0000,4946.0000
AZE,*,*,5500.0000,5359.0000
AZE,*,*,6000.0000,5771.0000
AZE,*,*,6500.0000,6183.0000
AZE,*,*,7000.0000,6595.0000
AZE,*,*,7500.0000,7007.0000
AZE,*,*,8000.0000,7420.0000
AZE,*,*,8500.0000,7832.0000
AZE,*,*,9000.0000,8244.0000
AZE,*,*,9500.0000,8656.0000
AZE,*,*,10000.0000,9068.0000
AZE,*,*,11000.0000,10030.0000
AZE,*,*,12000.0000,10992.0000
AZE,*,*,13000.0000,11954.0000
AZE,*,*,14000.0000,12916.0000
AZE,*,*,15000.0000,13877.0000
AZE,*,*,16000.0000,14757.0000
AZE,*,*,17000.0000,15636.0000
AZE,*,*,18000.0000,16515.0000
AZE,*,*,19000.0000,17395.0000
AZE,*,*,20000.0000,18274.0000
AZE,*,*,21000.0000,19154.0000
AZE,*,*,22000.0000,20033.0000
AZE,*,*,23000.0000,20912.0000
AZE,*,*,24000.0000,21792.0000
AZE,*,*,25000.0000,22671.0000
AZE,*,*,26000.0000,23523.0000
AZE,*,*,27000.0000,24375.0000
AZE,*,*,28000.0000,25227.0000
AZE,*,*,29000.0000,26079.0000
AZE,*,*,30000.0000,26930.0000
AZE,*,*,31000.0000,27782.0000
AZE,*,*,32000.0000,28634.0000
AZE,*,*,33000.0000,29486.0000
AZE,*,*,34000.0000,30338.0000
AZE,*,*,35000.0000,31190.0000
AZE,*,*,36000.0000,32042.0000
AZE,*,*,37000.0000,32894.0000
AZE,*,*,38000.0000,33745.0000
AZE,*,*,39000.0000,34597.0000
AZE,*,*,40000.0000,35449.0000
AZE,*,*,41000.0000,36301.0000
AZE,*,*,42000.0000,37153.0000
AZE,*,*,43000.0000,38005.0000
AZE,*,*,44000.0000,38857.0000
AZE,*,*,45000.0000,39709.0000
AZE,*,*,46000.0000,40560.0000
AZE,*,*,47000.0000,41412.0000
AZE,*,*,48000.0000,42264.0000
AZE,*,*,49000.0000,43116.0000
AZE,*,*,50000.0000,43968.0000
BEL,*,*,500.0000,889.0000
BEL,*,*,1000.0000,889.0000
BEL,*,*,1500.0000,1026.0000
BEL,*,*,2000.0000,1231.0000
BEL,*,*,2500.0000,1368.0000
BEL,*,*,3000.0000,1505.0000
BEL,*,*,3500.0000,1710.0000
BEL,*,*,4000.0000,2189.0000
BEL,*,*,4500.0000,2668.0000
BEL,*,*,5000.0000,3092.0000
